Date,Close/Last,Open,High,Low,Volume
2020-09-15,28147.060547000005,28139.75976600001,28231.099609,28139.800781,41953080
2020-09-14,27993.330077999995,27718.740234,28086.060547000005,27718.740234,380750000
2020-09-11,27665.640625,27613.859375,27828.820313,27448.15039100001,435330000
2020-09-10,27534.580077999995,28022.50976600001,28174.779297000005,27447.080077999995,442850000
2020-09-09,27940.470702999995,27711.710938,28206.210938,27704.539063,460590000
2020-09-08,27500.890625,27925.230469,27925.230469,27464.90039100001,580860000
2020-09-04,28133.310547000005,28341.050781,28539.75,27664.679688,694640000
2020-09-03,28292.730469,29090.699219,29199.349609,28074.75976600001,650080000
2020-09-02,29100.5,28736.789063,29162.880859,28713.529297000005,539510000
2020-09-01,28645.660156,28439.609375,28659.259766000014,28290.720702999995,423410000
2020-08-31,28430.050781,28643.660156,28643.660156,28363.550781,517320000
2020-08-28,28653.869141000014,28601.289063,28733.349609,28487.980469,369740000
2020-08-27,28492.269531,28384.070313,28634.220702999995,28363.929688,404340000
2020-08-26,28331.919922000005,28257.880859,28353.800781,28153.910156,327070000
2020-08-25,28248.439452999995,28347.419922000005,28400.740234,28094.570313,338420000
2020-08-24,28308.460938,28077.580077999995,28314.939452999995,28041.75,383880000
2020-08-21,27930.330077999995,27758.130859,27959.480469,27686.779297000005,372720000
2020-08-20,27739.730469,27622.679688,27781.460938,27526.25,304550000
2020-08-19,27692.880859,27811.25976600001,27920.419922000005,27647.669922000005,311460000
2020-08-18,27778.070313,27853.480469,27891.11914100001,27668.789063,276170000
2020-08-17,27844.910156,27970.050781,27999.810547000005,27816.40039100001,286860000
2020-08-14,27931.019531,27828.929688,27977.810547000005,27759.390625,275540000
2020-08-13,27896.720702999995,27922.50976600001,27986.099609,27789.779297000005,360160000
2020-08-12,27976.839844,27860.240234,28043.890625,27843.320313,340210000
2020-08-11,27686.910156,27961.640625,28154.880859,27624.50976600001,428220000
2020-08-10,27791.439452999995,27488.210938,27803.859375,27488.210938,360340000
2020-08-07,27433.480469,27321.679688,27456.240234,27223.550781,321170000
2020-08-06,27386.980469,27170.820313,27394.099609,27145.25,322460000
2020-08-05,27201.519531,26924.779297000005,27221.669922000005,26924.779297000005,366000000
2020-08-04,26828.470703,26664.609375,26832.720703,26597.820313,346350000
2020-08-03,26664.400391,26542.320313,26707.259766,26534.380859,439380000
2020-07-31,26428.320313,26409.330078,26440.019531,26013.589844,488050000
2020-07-30,26313.650391,26367.419922,26374.929688,25992.279297,351540000
2020-07-29,26539.570313,26388.439453,26602.449219,26375.390625,347580000
2020-07-28,26379.279297,26529.449219,26556.839844,26361.710938,361090000
2020-07-27,26584.769531,26447.669922,26625.460938,26426.919922,400930000
2020-07-24,26469.890625,26533.410156,26625.699219,26402.859375,494170000
2020-07-23,26652.330078,26955.970702999995,26973.849609,26560.039063,419800000
2020-07-22,27005.839844,26824.560547,27035.240234,26794.189453,404340000
2020-07-21,26840.400391,26833.140625,27025.380859,26766.220703,364930000
2020-07-20,26680.869141,26660.289063,26765.019531,26504.199219,309390000
2020-07-17,26671.949219,26774.619141,26808.429688,26619.880859,296460000
2020-07-16,26734.710938,26746.570313,26879.160156,26590.009766,287330000
2020-07-15,26870.099609,27009.810547000005,27071.330077999995,26692.480469,384900000
2020-07-14,26642.589844,26044.169922,26690.519531,25994.980469,401640000
2020-07-13,26085.800781,26225.070313,26639.089844,26044.230469,425320000
2020-07-10,26075.300781,25690.349609,26101.320313,25637.5,338170000
2020-07-09,25706.089844,26094.919922,26103.279297,25523.509766,387610000
2020-07-08,26067.279297,25950.060547,26109.490234,25816.25,337300000
2020-07-07,25890.179688,26172.009766,26174.929688,25866.580078,346820000
2020-07-06,26287.029297,25996.080078,26297.529297,25996.080078,340690000
2020-07-02,25827.359375,25936.449219,26204.410156,25778.119141,349130000
2020-07-01,25734.970703,25879.380859,26019.310547,25713.609375,373180000
2020-06-30,25812.880859,25512.429688,25905.380859,25475.140625,410780000
2020-06-29,25595.800781,25152.449219,25601.150391,25096.160156,378070000
2020-06-26,25015.550781,25641.689453,25641.689453,24971.029297,640860000
2020-06-25,25745.599609,25365.220703,25769.609375,25209.789063,384560000
2020-06-24,25445.939453,25992.960938,25992.960938,25296.730469,450120000
2020-06-23,26156.099609,26159.390625,26314.970703,26105.970703,389980000
2020-06-22,26024.960938,25865.080078,26059.810547,25667.679688,351780000
2020-06-19,25871.460938,26213.099609,26451.439453,25759.660156,669390000
2020-06-18,26080.099609,26016.449219,26154.199219,25848.529297,328390000
2020-06-17,26119.609375,26330.519531,26400.070313,26068.410156,328830000
2020-06-16,26289.980469,26326.679688,26611.029297,25811.699219,489500000
2020-06-15,25763.160156,25270.390625,25891.580078,24843.179688,461230000
2020-06-12,25605.539063,25659.419922,25965.550781,25078.410156,514440000
2020-06-11,25128.169922,26282.509766,26294.080078,25082.720703,647780000
2020-06-10,26989.990234,27251.890625,27355.220702999995,26938.050781,448930000
2020-06-09,27272.300781,27447.36914100001,27447.36914100001,27151.060547000005,381430000
2020-06-08,27572.439452999995,27232.929688,27580.210938,27232.480469,430200000
2020-06-05,27110.980469,26836.800781,27338.300781,26836.800781,542310000
2020-06-04,26281.820313,26226.490234,26384.099609,26082.310547,372190000
2020-06-03,26269.890625,25906.880859,26337.75,25906.880859,398790000
2020-06-02,25742.650391,25582.519531,25743.130859,25523.740234,352610000
2020-06-01,25475.019531,25342.990234,25508.830078,25220.660156,338310000
2020-05-29,25383.109375,25324.150391,25482.800781,25031.669922,527620000
2020-05-28,25400.640625,25697.359375,25758.789063,25358.730469,377800000
2020-05-27,25548.269531,25298.630859,25551.560547,25009.869141,411230000
2020-05-26,24995.109375,24781.839844,25176.419922,24781.839844,424380000
2020-05-22,24465.160156,24461.980469,24481.640625,24294.070313,255660000
2020-05-21,24474.119141,24564.269531,24718.460938,24370.880859,346770000
2020-05-20,24575.900391,24455.939453,24649.480469,24455.939453,366510000
2020-05-19,24206.859375,24577.480469,24599.5,24202.960938,374100000
2020-05-18,24597.369141,24059.980469,24708.539063,24059.980469,484190000
2020-05-15,23685.419922,23454.830078,23730.080078,23354.150391,491510000
2020-05-14,23625.339844,23049.060547,23630.859375,22789.619141,472700000
2020-05-13,23247.970703,23702.160156,23708.900391,23067.640625,469950000
2020-05-12,23764.779297,24292.839844,24382.089844,23761.580078,359480000
2020-05-11,24221.990234,24256.449219,24366.210938,24070.220703,352400000
2020-05-08,24331.320313,24107.820313,24349.900391,24107.050781,335760000
2020-05-07,23875.890625,23837.210938,24094.619141,23834.390625,369890000
2020-05-06,23664.640625,23978.880859,24054.589844,23661.140625,377450000
2020-05-05,23883.089844,23958.880859,24169.720703,23868.910156,369710000
2020-05-04,23749.759766,23581.550781,23769.560547,23361.160156,355360000
2020-05-01,23723.689453,24120.779297,24120.779297,23645.300781,418160000
2020-04-30,24345.720703,24585.570313,24585.570313,24186.900391,478280000
2020-04-29,24633.859375,24490.369141,24764.769531,24453.990234,455290000
2020-04-28,24101.550781,24357.169922,24512.240234,24031.199219,400250000
2020-04-27,24133.779297,23866.150391,24207.650391,23840.609375,389390000
2020-04-24,23775.269531,23628.240234,23826.0,23417.679688,376020000
2020-04-23,23515.259766,23543.089844,23885.359375,23483.349609,389290000
2020-04-22,23475.820313,23437.339844,23613.099609,23339.599609,352880000
2020-04-21,23018.880859,23365.25,23365.25,22941.880859,485140000
2020-04-20,23650.439453,24095.099609,24108.689453,23627.189453,423410000
2020-04-17,24242.490234,23817.150391,24264.210938,23817.150391,525950000
2020-04-16,23537.679688,23543.660156,23598.080078,23211.380859,471050000
2020-04-15,23504.349609,23600.720703,23649.720703,23233.320313,437630000
2020-04-14,23949.759766,23690.570313,24040.580078,23683.439453,485910000
2020-04-13,23390.769531,23698.929688,23698.929688,23095.349609,394320000
2020-04-09,23719.369141,23690.660156,24008.990234,23504.089844,566400000
2020-04-08,23433.570313,22893.470703,23513.400391,22682.990234,472740000
2020-04-07,22653.859375,23537.439453,23617.240234,22634.449219,594660000
