Date,Close/Last,Open,High,Low,Volume
2020-09-15,25.219999,25.92,25.950001,24.92,0
2020-09-14,25.85,25.860001,26.790001,25.379999,0
2020-09-11,26.870001,28.629999,29.73,26.51,0
2020-09-10,29.709999,28.67,30.559999,27.59,0
2020-09-09,28.809999,31.68,31.780001,28.120001,0
2020-09-08,31.459999,30.610001,35.93,30.52,0
2020-09-04,30.75,34.619999,38.279999,29.5,0
2020-09-03,33.599998,26.280001,35.939999,25.66,0
2020-09-02,26.57,26.01,27.07,25.530001,0
2020-09-01,26.120001,25.860001,26.59,25.02,0
2020-08-31,26.41,23.91,26.5,21.77,0
2020-08-28,22.959999,24.59,26.299999,22.639999,0
2020-08-27,24.469999,23.42,27.09,21.440001,0
2020-08-26,23.27,22.139999,23.27,20.92,0
2020-08-25,22.030001,22.16,23.43,21.530001,0
2020-08-24,22.370001,22.870001,23.18,21.25,0
2020-08-21,22.540001,22.58,24.469999,22.059999,0
2020-08-20,22.719999,24.1,24.6,22.370001,0
2020-08-19,22.540001,21.6,22.98,20.99,0
2020-08-18,21.51,21.690001,22.549999,21.18,0
2020-08-17,21.35,22.52,22.82,21.34,0
2020-08-14,22.049999,22.27,23.549999,21.790001,0
2020-08-13,22.129999,22.200001,22.92,21.450001,0
2020-08-12,22.280001,22.82,22.879999,21.540001,0
2020-08-11,24.030001,21.85,24.93,20.280001,0
2020-08-10,22.129999,22.879999,23.52,21.459999,0
2020-08-07,22.209999,23.450001,24.02,22.02,0
2020-08-06,22.65,23.030001,24.110001,20.969999,0
2020-08-05,22.99,23.440001,23.610001,22.860001,0
2020-08-04,23.76,24.01,24.76,22.92,0
2020-08-03,24.280001,25.75,26.01,22.17,0
2020-07-31,24.459999,24.790001,26.41,23.549999,0
2020-07-30,24.76,25.040001,28.290001,24.639999,0
2020-07-29,24.1,25.16,25.42,23.73,0
2020-07-28,25.440001,24.860001,25.85,24.049999,0
2020-07-27,24.74,26.6,26.940001,24.549999,0
2020-07-24,25.84,27.959999,28.58,25.530001,0
2020-07-23,26.08,23.969999,26.950001,23.6,0
2020-07-22,24.32,24.559999,26.26,24.129999,0
