Date,Close/Last,Open,High,Low
2020-09-15,28147.060547000005,28139.75976600001,28231.099608999997,28139.800781
2020-09-14,27993.330077999995,27718.740233999997,28086.060547000005,27718.740233999997
2020-09-11,27665.640625,27613.859375,27828.820313,27448.15039100001
2020-09-10,27534.580077999995,28022.50976600001,28174.779297000005,27447.080077999995
2020-09-09,27940.470702999995,27711.710938,28206.210938,27704.539063
2020-09-08,27500.890625,27925.230469,27925.230469,27464.90039100001
2020-09-04,28133.310547000005,28341.050781,28539.75,27664.679688
2020-09-03,28292.730469,29090.699219,29199.349608999997,28074.75976600001
2020-09-02,29100.5,28736.789063,29162.880858999997,28713.529297000005
2020-09-01,28645.660156,28439.609375,28659.25976600001,28290.720702999995
2020-08-31,28430.050781,28643.660156,28643.660156,28363.550781
2020-08-28,28653.86914100001,28601.289063,28733.349608999997,28487.980469
2020-08-27,28492.269531,28384.070313,28634.220702999995,28363.929688
2020-08-26,28331.919922000005,28257.880858999997,28353.800781,28153.910156
2020-08-25,28248.439452999995,28347.419922000005,28400.740233999997,28094.570313
2020-08-24,28308.460938,28077.580077999995,28314.939452999995,28041.75
2020-08-21,27930.330077999995,27758.130858999997,27959.480469,27686.779297000005
2020-08-20,27739.730469,27622.679688,27781.460938,27526.25
2020-08-19,27692.880858999997,27811.25976600001,27920.419922000005,27647.669922000005
2020-08-18,27778.070313,27853.480469,27891.11914100001,27668.789063
2020-08-17,27844.910156,27970.050781,27999.810547000005,27816.40039100001
2020-08-14,27931.019531,27828.929688,27977.810547000005,27759.390625
2020-08-13,27896.720702999995,27922.50976600001,27986.099608999997,27789.779297000005
2020-08-12,27976.839844,27860.240233999997,28043.890625,27843.320313
2020-08-11,27686.910156,27961.640625,28154.880858999997,27624.50976600001
2020-08-10,27791.439452999995,27488.210938,27803.859375,27488.210938
2020-08-07,27433.480469,27321.679688,27456.240233999997,27223.550781
2020-08-06,27386.980469,27170.820313,27394.099608999997,27145.25
2020-08-05,27201.519531,26924.779297000005,27221.669922000005,26924.779297000005
2020-08-04,26828.470703,26664.609375,26832.720703,26597.820313
2020-08-03,26664.400391,26542.320313,26707.259766,26534.380859
2020-07-31,26428.320313,26409.330078,26440.019531,26013.589844
2020-07-30,26313.650391,26367.419922,26374.929688,25992.279297
2020-07-29,26539.570313,26388.439453,26602.449219,26375.390625
2020-07-28,26379.279297,26529.449219,26556.839844,26361.710938
2020-07-27,26584.769531,26447.669922,26625.460938,26426.919922
2020-07-24,26469.890625,26533.410156,26625.699219,26402.859375
2020-07-23,26652.330078,26955.970702999995,26973.849608999997,26560.039063
2020-07-22,27005.839844,26824.560547,27035.240233999997,26794.189453
2020-07-21,26840.400391,26833.140625,27025.380858999997,26766.220703
2020-07-20,26680.869141,26660.289063,26765.019531,26504.199219
2020-07-17,26671.949219,26774.619141,26808.429688,26619.880859
2020-07-16,26734.710938,26746.570313,26879.160156,26590.009766
2020-07-15,26870.099608999997,27009.810547000005,27071.330077999995,26692.480469
2020-07-14,26642.589844,26044.169922,26690.519531,25994.980469
2020-07-13,26085.800781,26225.070313,26639.089844,26044.230469
2020-07-10,26075.300781,25690.349609,26101.320313,25637.5
2020-07-09,25706.089844,26094.919922,26103.279297,25523.509766
2020-07-08,26067.279297,25950.060547,26109.490234,25816.25
2020-07-07,25890.179688,26172.009766,26174.929688,25866.580078
2020-07-06,26287.029297,25996.080078,26297.529297,25996.080078
2020-07-02,25827.359375,25936.449219,26204.410156,25778.119141
2020-07-01,25734.970703,25879.380859,26019.310547,25713.609375
2020-06-30,25812.880859,25512.429688,25905.380859,25475.140625
2020-06-29,25595.800781,25152.449219,25601.150391,25096.160156
2020-06-26,25015.550781,25641.689453,25641.689453,24971.029297
