Date,Close/Last,Open,High,Low,LastClose,DailyRise,DailyRiseRate,DailyReturn,TotalReturn,DailyRippleRange,DailyRippleRadio,DailyK,MA5,MA15,MA30,EWMA,MACD,K,D,J,rs,rsi,MAD
2020-04-20,75.0,82.27,75.92,74.0,81.88,-6.8799999999999955,-0.08402540302882262,,-0.27884615384615385,1.9200000000000017,1.025945945945946,0.023448949682462163,78.79400000000011,75.4446666666666,70.87433333333327,77.6634516384688,1.5387600927339178,67.13623483476756,61.703457212953225,78.00179007839625,1.0711280784165482,51.717133748457705,2.6088000000000022
2020-04-19,81.88,82.25,82.43,79.9,82.23,-0.3500000000000085,-0.004256354128663608,1.0917333333333332,-0.21269230769230774,2.530000000000001,1.0316645807259075,0.03076735984433906,77.6860000000001,74.95333333333329,70.7886666666666,78.9951774577032,2.4350265457960845,75.65398287673162,58.987068402046056,108.98781182610274,1.5539289994840417,60.84464367638939,3.8087999999999993
2020-04-18,82.23,77.7,82.33,78.92,78.47,3.760000000000005,0.04791640117242265,1.0964,-0.20932692307692305,3.4099999999999966,1.0432083122149012,0.0434560978717981,75.99600000000011,74.02399999999994,70.48633333333326,77.55276618655482,2.2239954878215245,65.32785141382145,50.65361116470328,94.67633191205778,1.5877354639611427,61.35617361485386,3.6407999999999987
2020-04-17,78.47,75.93,78.84,76.32,76.39,2.0799999999999983,0.027228694855347537,1.0462666666666667,-0.24548076923076925,2.5200000000000102,1.0330188679245285,0.03298861107474814,74.4080000000001,73.01399999999994,69.90533333333327,75.21414927983221,1.602571549526429,48.32984338171929,43.31649104014419,58.3565480648695,1.3707134948317845,57.81860599435464,2.4175999999999958
2020-04-16,76.39,69.24,76.94,75.4,69.46,6.930000000000007,0.09976965159804214,1.0185333333333333,-0.26548076923076924,1.539999999999992,1.0204244031830239,0.022171033688453672,72.9640000000001,72.3886666666666,69.25299999999994,73.58622391974832,1.2233907742421315,38.10206526137696,40.80981486935664,32.68656604541758,1.2592341246711114,55.73721248807822,2.087200000000004
2020-04-15,69.46,73.08,70.8,67.54,73.43,-3.970000000000013,-0.05406509600980543,0.9261333333333333,-0.3321153846153847,3.259999999999991,1.048267693218833,0.04439602342366867,72.4360000000001,71.66666666666659,68.24733333333327,72.18433587962248,0.9261296976925816,29.305394934230335,42.16368967334649,3.5888054559980276,0.9143448232365283,47.762806999977755,1.6648000000000025
2020-04-14,73.43,73.5,73.48,71.68,74.29,-0.8599999999999994,-0.011576255216045219,0.9790666666666666,-0.2939423076923076,1.7999999999999972,1.0251116071428572,0.024229371382420206,73.4880000000001,71.33199999999992,67.45133333333327,73.54650381943371,1.7765146697057506,37.916556844391486,48.59283704290457,16.563996447365312,1.1197859136004669,52.82542479483246,0.9183999999999998
2020-04-13,74.29,71.43,74.43,72.91,71.25,3.0400000000000063,0.042666666666666755,0.9905333333333334,-0.28567307692307686,1.5200000000000102,1.020847620353861,0.02133333333333348,74.6220000000001,70.80266666666658,66.5556666666666,73.60475572915057,2.1705250204399396,45.81564523543457,53.93097714216111,29.584981421981496,1.172791465273977,53.97625515461487,1.8303999999999974
2020-04-12,71.25,74.33,74.23,70.59,73.75,-2.5,-0.03389830508474576,0.95,-0.31490384615384615,3.6400000000000006,1.0515653775322285,0.04935593220338984,74.67400000000009,69.9786666666666,65.60399999999994,73.26213359372586,2.4432259585075013,46.286797165576445,57.98864309552439,22.88310530568056,1.017418015702634,50.43169079405112,1.7888000000000006
2020-04-11,73.75,74.95,75.73,73.66,74.72,-0.9699999999999989,-0.012981798715203411,0.9833333333333334,-0.29086538461538464,2.0700000000000074,1.02810209068694,0.0277034261241971,75.34000000000009,69.5466666666666,64.8986666666666,74.2682003905888,3.301650164347405,56.16119695463728,63.839566060498356,40.80445874291513,1.154382613586539,53.58298968374815,1.504000000000002
2020-04-10,74.72,81.55,75.15,73.68,79.1,-4.3799999999999955,-0.055372945638432314,0.9962666666666667,-0.28153846153846157,1.4699999999999989,1.0199511400651466,0.018584070796460163,75.10400000000008,68.84133333333327,63.8676666666666,74.5273005858832,3.9035127445848308,63.3283338934944,67.67875061342889,54.62750045362543,1.2132259994442276,54.81708599794534,1.598400000000001
2020-04-09,79.1,75.79,83.43,79.06,74.55,4.549999999999997,0.06103286384976522,1.0546666666666666,-0.239423076923077,4.3700000000000045,1.055274475082216,0.05861837692823615,73.68600000000009,68.44133333333326,63.65199999999993,74.4309508788248,4.369274952406929,71.16437584024162,69.85395897339613,73.78520957393258,1.5430145666595232,60.67659174624433,2.8688000000000016
2020-04-08,74.55,72.72,76.34,74.41,74.58,-0.030000000000001137,-0.00040225261464201043,0.994,-0.28317307692307697,1.9300000000000068,1.02593737400887,0.025878251541968447,71.4540000000001,67.70999999999994,63.500333333333266,72.0964263182372,3.8987351368380105,68.57716485325862,69.1987505399734,67.33399347982905,1.280806233356692,56.155854654593476,2.9352000000000005
2020-04-07,74.58,72.63,81.31,71.16,72.57,2.010000000000005,0.027697395618024048,0.9944,-0.2828846153846154,10.150000000000006,1.1426363125351322,0.13986495797161372,69.96000000000008,67.22866666666661,63.4606666666666,70.86963947735582,3.8080832410788013,71.87587101442112,69.50954338333081,76.60852627660174,1.2828656909567564,56.195408080231964,2.8919999999999986
2020-04-06,72.57,67.69,74.9,71.6,67.63,4.939999999999998,0.07304450687564687,0.9675999999999999,-0.30221153846153853,3.3000000000000114,1.0460893854748605,0.04879491349992624,68.86200000000008,66.89266666666661,63.39799999999993,69.01445921603374,3.412629721886171,76.73956580172167,68.32637956778565,93.56593826959372,1.182828948309853,54.18788995013595,1.5744
2020-04-05,67.63,68.36,67.97,66.85,67.94,-0.3100000000000023,-0.004562849573152816,0.9017333333333333,-0.3497115384615385,1.1200000000000045,1.0167539267015708,0.016485133941713345,67.46000000000008,66.30399999999995,63.8286666666666,67.23668882405062,2.9932191186975636,73.19962648036031,64.11978645081764,91.35930653944564,0.9545290331433957,48.8367794469782,0.9119999999999976
2020-04-04,67.94,67.42,68.78,67.92,67.08,0.8599999999999994,0.012820512820512813,0.9058666666666667,-0.34673076923076923,0.8599999999999994,1.0126619552414606,0.012820512820512813,66.82200000000009,66.62399999999997,64.65099999999993,67.04003323607593,3.1797281627524985,70.40717452717031,59.5798664360463,92.06179070941835,0.9673985199881496,49.171457137925294,1.4575999999999993
