Date, Close/Last, Volume, Open, High, Low
2020-09-14,1.2856, N/A,1.2844,1.286,1.2815
2020-09-13,1.2822, N/A,1.2793,1.2830000000000001,1.2775
2020-09-11,1.2795, N/A,1.2803,1.2864,1.2764
2020-09-10,1.2824, N/A,1.2803,1.2825,1.2794
2020-09-09,1.2995, N/A,1.3,1.301,1.2977
2020-09-08,1.2961, N/A,1.2987,1.2995,1.2951
2020-09-07,1.3146, N/A,1.3166,1.3174,1.3139
2020-09-06,1.3243, N/A,1.3282,1.3267,1.3237
2020-09-04,1.3282, N/A,1.328,1.3312,1.3176
2020-09-03,1.328, N/A,1.328,1.3296,1.3261
2020-09-02,1.3326, N/A,1.3352,1.3357,1.3322
2020-09-01,1.3373, N/A,1.3381,1.3402,1.3366
2020-08-31,1.3408, N/A,1.3369,1.3413,1.3356
2020-08-30,1.3352, N/A,1.3349,1.3366,1.3334
2020-08-28,1.335, N/A,1.3198,1.3356,1.3187
2020-08-27,1.3245, N/A,1.3198,1.3245,1.3187
2020-08-26,1.3209, N/A,1.3208,1.3223,1.3195
2020-08-25,1.3138, N/A,1.315,1.3158,1.3133
2020-08-24,1.3104, N/A,1.3063,1.3107,1.3054
2020-08-23,1.3089, N/A,1.3087,1.3101,1.3083
2020-08-21,1.3089, N/A,1.3212,1.3255,1.3059
2020-08-20,1.3232, N/A,1.3212,1.3236,1.3212
2020-08-19,1.3104, N/A,1.3098,1.3119,1.3088
2020-08-18,1.3239, N/A,1.3235,1.3264,1.3233
2020-08-17,1.3129, N/A,1.3102,1.3137,1.3095
2020-08-16,1.3098, N/A,1.3084,1.311,1.3090000000000002
2020-08-14,1.3086, N/A,1.3086,1.3143,1.3049
2020-08-13,1.3054, N/A,1.3063,1.3075,1.3049
2020-08-12,1.306, N/A,1.3032,1.3074,1.3031
2020-08-11,1.3028, N/A,1.3048,1.3061,1.3019999999999998
2020-08-10,1.3087, N/A,1.307,1.3096,1.3063
2020-08-09,1.3074, N/A,1.3051,1.3076,1.3041
2020-08-07,1.3051, N/A,1.3146,1.3155,1.301
2020-08-06,1.3108, N/A,1.3146,1.3155,1.3102
2020-08-05,1.3133, N/A,1.3112,1.3144,1.3112
2020-08-04,1.3087, N/A,1.306,1.3092,1.3059
2020-08-03,1.3077, N/A,1.3072,1.3089,1.3063
2020-08-02,1.3090000000000002, N/A,1.3088,1.3107,1.3057
2020-07-31,1.3084, N/A,1.3093,1.3171,1.3071
2020-07-30,1.3127, N/A,1.3093,1.3143,1.3079
2020-07-29,1.2986, N/A,1.2995,1.3006,1.2972
2020-07-28,1.2925, N/A,1.2930000000000001,1.294,1.2913
2020-07-27,1.2851, N/A,1.2881,1.2905,1.2851
2020-07-26,1.2845, N/A,1.2789,1.2857,1.2785
2020-07-24,1.2793, N/A,1.2739,1.2804,1.2718
2020-07-23,1.2742, N/A,1.2739,1.2773,1.2729
2020-07-22,1.2737, N/A,1.2732,1.274,1.2724
2020-07-21,1.2725, N/A,1.2728,1.274,1.2717
2020-07-20,1.2670000000000001, N/A,1.266,1.2685,1.2654
2020-07-19,1.2521, N/A,1.2565,1.2573,1.2518
2020-07-17,1.2567, N/A,1.2549,1.2574,1.2512
2020-07-16,1.2571, N/A,1.2549,1.2571,1.2542
2020-07-15,1.2557, N/A,1.258,1.2594,1.255
2020-07-14,1.2568, N/A,1.2548,1.2588,1.2549
2020-07-13,1.2551, N/A,1.2552,1.2564,1.2538
2020-07-12,1.2657, N/A,1.262,1.2659,1.2622
2020-07-10,1.2621, N/A,1.2604,1.2664,1.2567
2020-07-09,1.2589, N/A,1.2604,1.2612,1.2582
2020-07-08,1.2628, N/A,1.2609,1.2629,1.2602
2020-07-07,1.256, N/A,1.254,1.2567,1.2536
2020-07-06,1.2502, N/A,1.2491,1.2518,1.2486
2020-07-05,1.2489, N/A,1.2483,1.249,1.2459
2020-07-03,1.249, N/A,1.2466,1.2493,1.2439
2020-07-02,1.2504, N/A,1.247,1.2528,1.2461
