Date,Predicted values
2020-09-15,10576.230133644653
2020-09-16,10518.506469154996
2020-09-17,10461.366644725113
2020-09-18,10404.87227665419
2020-09-19,10349.080650077478
2020-09-20,10294.044856817574
2020-09-21,10239.813932694507
2020-09-22,10186.432994100609
2020-09-23,10133.943373657723
2020-09-24,10082.382754785494
2020-09-25,10031.785305020392
2020-09-26,9982.181807935665
2020-09-27,9933.599793522733
2020-09-28,9886.063666904378
2020-09-29,9839.594835259772
2020-09-30,9794.211832850655
2020-10-01,9749.93044404696
2020-10-02,9706.76382425883
2020-10-03,9664.722618690339
2020-10-04,9623.815078838328
2020-10-05,9584.047176667389
2020-10-06,9545.422716399607
2020-10-07,9507.943443864735
2020-10-08,9471.609153363346
2020-10-09,9436.417792002081
2020-10-10,9402.365561466391
2020-10-11,9369.447017202172
2020-10-12,9337.65516498341
2020-10-13,9306.981554848433
2020-10-14,9277.416372392563
2020-10-15,9248.948527409873
2020-10-16,9221.565739881498
2020-10-17,9195.25462331233
2020-10-18,9170.000765422188
2020-10-19,9145.788806201483
2020-10-20,9122.602513345157
2020-10-21,9100.424855082203
2020-10-22,9079.238070421357
2020-10-23,9059.023736836672
2020-10-24,9039.762835419555
2020-10-25,9021.435813526556
2020-10-26,9004.022644954694
2020-10-27,8987.502887678438
2020-10-28,8971.85573918456
2020-10-29,8957.060089443108
2020-10-30,8943.094571554486
2020-10-31,8929.937610114312
2020-11-01,8917.567467339164
2020-11-02,8905.962286997716
2020-11-03,8895.100136192896
2020-11-04,8884.959045041804
2020-11-05,8875.51704430102
2020-11-06,8866.752200985726
2020-11-07,8858.642652031782
2020-11-08,8851.166636050379
2020-11-09,8844.302523225417
2020-11-10,8838.028843404063
2020-11-11,8832.324312431187
2020-11-12,8827.167856778513
2020-11-13,8822.538636519423
2020-11-14,8818.416066700263
2020-11-15,8814.779837158952
2020-11-16,8811.609930841441
2020-11-17,8808.886640666391
2020-11-18,8806.590584988026
2020-11-19,8804.70272170682
2020-11-20,8803.204361077142
2020-11-21,8802.07717726052
2020-11-22,8801.30321867265
2020-11-23,8800.864917171608
2020-11-24,8800.745096134135
2020-11-25,8800.92697746613
2020-11-26,8801.39418759278
2020-11-27,8802.130762472972
2020-11-28,8803.12115168187
2020-11-29,8804.350221604658
2020-11-30,8805.803257783682
2020-12-01,8807.465966460235
2020-12-02,8809.324475351465
2020-12-03,8811.365333701868
2020-12-04,8813.575511647952
2020-12-05,8815.94239893371
2020-12-06,8818.453803013583
2020-12-07,8821.097946578624
2020-12-08,8823.86346454063
2020-12-09,8826.739400508006
2020-12-10,8829.7152027862
2020-12-11,8832.780719934479
2020-12-12,8835.92619590997
2020-12-13,8839.14226482878
2020-12-14,8842.419945373153
2020-12-15,8845.750634872555
2020-12-16,8849.126103085724
2020-12-17,8852.538485709672
2020-12-18,8855.980277640734
2020-12-19,8859.44432601182
2020-12-20,8862.9238230291
2020-12-21,8866.41229863042
2020-12-22,8869.903612986882
2020-12-23,8873.3919488681
2020-12-24,8876.871803890797
2020-12-25,8880.337982669536
2020-12-26,8883.785588887538
2020-12-27,8887.210017304711
2020-12-28,8890.60694571922
2020-12-29,8893.9723268981
2020-12-30,8897.302380491668
2020-12-31,8900.593584945727
2021-01-01,8903.84266942478
2021-01-02,8907.0466057588
2021-01-03,8910.202600425368
2021-01-04,8913.308086578274
2021-01-05,8916.3607161331
2021-01-06,8919.358351919527
2021-01-07,8922.299059909597
2021-01-08,8925.181101530468
2021-01-09,8928.002926069645
2021-01-10,8930.763163180074
2021-01-11,8933.460615491958
2021-01-12,8936.094251337576
2021-01-13,8938.663197594902
2021-01-14,8941.166732655316
2021-01-15,8943.60427952018
2021-01-16,8945.975399030636
2021-01-17,8948.279783234513
2021-01-18,8950.517248893782
2021-01-19,8952.687731135637
2021-01-20,8954.791277249815
2021-01-21,8956.828040634464
2021-01-22,8958.798274892428
2021-01-23,8960.702328079557
2021-01-24,8962.54063710623
2021-01-25,8964.313722293064
2021-01-26,8966.02218208136
2021-01-27,8967.666687898703
2021-01-28,8969.247979179701
2021-01-29,8970.766858541741
2021-01-30,8972.224187115284
2021-01-31,8973.620880028073
2021-02-01,8974.957902042364
2021-02-02,8976.236263344106
2021-02-03,8977.457015482803
2021-02-04,8978.621247460636
2021-02-05,8979.730081969215
2021-02-06,8980.784671772208
2021-02-07,8981.786196231953
2021-02-08,8982.735857978001
2021-02-09,8983.634879715439
2021-02-10,8984.484501170735
2021-02-11,8985.285976172712
2021-02-12,8986.040569866207
2021-02-13,8986.749556055842
2021-02-14,8987.41421467731
2021-02-15,8988.035829393468
2021-02-16,8988.61568531249
2021-02-17,8989.155066825282
2021-02-18,8989.655255559304
2021-02-19,8990.117528445935
2021-02-20,8990.543155898436
2021-02-21,8990.933400097609
2021-02-22,8991.289513382158
2021-02-23,8991.61273674083
2021-02-24,8991.9042984033
2021-02-25,8992.165412526892
2021-02-26,8992.397277976097
2021-02-27,8992.601077191965
2021-02-28,8992.777975148401
2021-03-01,8992.929118392432
2021-03-02,8993.055634165514
2021-03-03,8993.158629603007
2021-03-04,8993.239191008943
2021-03-05,8993.298383203239
2021-03-06,8993.337248938578
2021-03-07,8993.356808384166
2021-03-08,8993.358058673652
2021-03-09,8993.341973514533
