Date,Predicted values
2015-05-01,104.04322982825417
2015-06-01,103.65297297586704
2015-07-01,103.1992363824691
2015-08-01,104.03656319365166
2015-09-01,103.83162593980639
2015-10-01,103.65216767071044
2015-11-01,103.36001516358895
2015-12-01,102.34570996005469
2016-01-01,101.99675627896816
2016-02-01,102.38071136300503
2016-03-01,101.71170891947358
2016-04-01,101.4062246782368
2016-05-01,101.21851491732137
2016-06-01,101.22671917839146
2016-07-01,101.89066081370093
2016-08-01,101.89625289839998
2016-09-01,102.12319377435576
2016-10-01,102.4006525201056
2016-11-01,102.11574404358272
2016-12-01,102.19308767679085
2017-01-01,102.80709692424738
2017-02-01,102.95760268743402
2017-03-01,102.80325983638936
2017-04-01,103.56124600453485
2017-05-01,104.29330082221654
2017-06-01,104.68937329415381
2017-07-01,104.92312424703442
2017-08-01,104.54162792998264
2017-09-01,104.37639604306207
2017-10-01,103.76044349301479
2017-11-01,105.48432078497274
2017-12-01,105.826795898173
2018-01-01,106.95515218712953
2018-02-01,106.5220761259078
2018-03-01,107.04315728988459
2018-04-01,107.64917357623365
2018-05-01,107.9566238383573
2018-06-01,107.50967251611857
2018-07-01,108.13748695899345
2018-08-01,108.54693279201264
2018-09-01,109.45230720017501
2018-10-01,109.67087252136001
2018-11-01,109.96174716565362
2018-12-01,110.86024288150877
2019-01-01,110.6656601268465
2019-02-01,110.04571722151482
2019-03-01,109.4943801660514
2019-04-01,108.98699269692378
2019-05-01,108.60081128719698
2019-06-01,108.32599402268295
2019-07-01,108.85387078497577
2019-08-01,108.56387643271361
2019-09-01,110.05566055764162
2019-10-01,109.13741425465815
2019-11-01,109.29572114308304
2019-12-01,110.11059479237406
2020-01-01,108.80409944961826
2020-02-01,109.43450048329218
2020-03-01,108.44945577997238
2020-04-01,102.79019568341094
2020-05-01,102.5290940938813
2020-06-01,100.02670647230556
2020-07-01,98.55082652823955
2020-08-01,97.72760373614494
2020-09-01,95.77281367991293
2020-10-01,95.88152577280069
2020-11-01,95.24635221116596
2020-12-01,94.07278843098003
2021-01-01,94.12819034977643
2021-02-01,93.41909828208007
2021-03-01,93.25244200759052
2021-04-01,92.84575803243175
2021-05-01,92.88365442562085
2021-06-01,92.55771487132961
2021-07-01,93.07752903287941
2021-08-01,93.1477445529037
2021-09-01,93.53181789285107
2021-10-01,94.0182626096202
2021-11-01,94.22158291341891
2021-12-01,94.80001075388343
2022-01-01,94.9256581926275
2022-02-01,95.51579393660964
2022-03-01,95.66029058262657
2022-04-01,96.36908191875062
2022-05-01,96.6731493757562
2022-06-01,97.36986859664044
2022-07-01,97.86562570909545
2022-08-01,98.36863288379536
2022-09-01,98.92582435031036
2022-10-01,99.17784179028067
2022-11-01,99.70057858599871
2022-12-01,99.79726339274094
2023-01-01,100.31378563485657
2023-02-01,100.42021923533514
2023-03-01,100.92319823998692
2023-04-01,101.12681636509294
2023-05-01,101.50646407563563
2023-06-01,101.76064909041696
2023-07-01,101.90806867759358
2023-08-01,102.13746210366926
2023-09-01,102.06927952655987
